source,exhaustiveness,ensemble_size,top_n,rmsd_threshold,lddt_threshold,mean,std,minimum,maximum,n_subsets
conformers,8,1,1,2.0,0.8,37.1571072319202,1.9655714177599055,34.413965087281795,39.52618453865337,5
conformers,8,1,5,2.0,0.8,45.586034912718205,1.5133068751569856,43.51620947630923,47.63092269326683,5
conformers,8,2,1,2.0,0.8,50.910224438902745,1.622598643378035,48.254364089775564,53.86533665835412,10
conformers,8,2,5,2.0,0.8,63.428927680798004,1.6363802722712306,61.4713216957606,67.2069825436409,10
conformers,8,3,1,2.0,0.8,58.241895261845386,1.2843498036726289,56.35910224438903,60.099750623441395,10
conformers,8,3,5,2.0,0.8,72.39401496259352,1.5307288500845373,69.82543640897755,74.81296758104739,10
conformers,8,4,1,2.0,0.8,63.09226932668329,0.9495976441226813,61.97007481296758,64.33915211970074,5
conformers,8,4,5,2.0,0.8,77.63092269326684,0.7766788779250645,76.43391521197007,78.42892768079801,5
conformers,8,5,1,2.0,0.8,66.58354114713217,,66.58354114713217,66.58354114713217,1
conformers,8,5,5,2.0,0.8,81.04738154613466,,81.04738154613466,81.04738154613466,1
conformers,16,1,1,2.0,0.8,38.6783042394015,1.6968604325390522,36.408977556109726,41.14713216957606,5
conformers,16,1,5,2.0,0.8,49.32668329177058,1.5184350053237818,47.50623441396509,51.49625935162095,5
conformers,16,2,1,2.0,0.8,52.381546134663346,1.2081115380014442,50.748129675810475,54.98753117206982,10
conformers,16,2,5,2.0,0.8,67.18204488778055,1.36437316311517,65.08728179551122,69.20199501246883,10
conformers,16,3,1,2.0,0.8,59.214463840399006,1.0103256338363567,57.231920199501246,60.47381546134663,10
conformers,16,3,5,2.0,0.8,75.51122194513715,0.823320399961056,74.06483790523691,76.80798004987531,10
conformers,16,4,1,2.0,0.8,63.216957605985044,0.7635566529872754,62.34413965087282,63.96508728179551,5
conformers,16,4,5,2.0,0.8,79.85037406483791,0.38024814668270956,79.42643391521197,80.29925187032418,5
conformers,16,5,1,2.0,0.8,66.08478802992519,,66.08478802992519,66.08478802992519,1
conformers,16,5,5,2.0,0.8,82.41895261845387,,82.41895261845387,82.41895261845387,1
conformers,32,1,1,2.0,0.8,41.49625935162095,1.4444479259425995,39.276807980049874,43.266832917705734,5
conformers,32,1,5,2.0,0.8,53.765586034912715,1.3698697223912484,52.86783042394015,56.109725685785534,5
conformers,32,2,1,2.0,0.8,55.074812967581046,0.90306992090856,53.86533665835412,57.1072319201995,10
conformers,32,2,5,2.0,0.8,71.00997506234414,1.2568869929374455,68.82793017456359,73.69077306733168,10
conformers,32,3,1,2.0,0.8,61.79551122194514,1.0904978353188777,59.47630922693267,63.71571072319202,10
conformers,32,3,5,2.0,0.8,78.57855361596009,0.7925311013501595,77.0573566084788,79.55112219451371,10
conformers,32,4,1,2.0,0.8,65.785536159601,1.1311639331712509,64.33915211970074,67.2069825436409,5
conformers,32,4,5,2.0,0.8,82.16957605985037,0.42283852762626345,81.6708229426434,82.66832917705736,5
conformers,32,5,1,2.0,0.8,68.82793017456359,,68.82793017456359,68.82793017456359,1
conformers,32,5,5,2.0,0.8,84.28927680798004,,84.28927680798004,84.28927680798004,1
seeds,8,1,1,2.0,0.8,34.33915211970075,0.7249098181420763,33.66583541147132,35.53615960099751,5
seeds,8,1,5,2.0,0.8,43.61596009975062,1.0221397272777641,42.768079800498754,45.261845386533665,5
seeds,8,2,1,2.0,0.8,37.01995012468828,0.6687601741751582,36.15960099750623,38.02992518703242,10
seeds,8,2,5,2.0,0.8,47.34413965087282,0.45167840355435107,46.50872817955112,47.880299251870326,10
seeds,8,3,1,2.0,0.8,38.50374064837905,0.5117454354653806,37.905236907730675,39.276807980049874,10
seeds,8,3,5,2.0,0.8,48.715710723192025,0.47041259574134375,47.880299251870326,49.251870324189525,10
seeds,8,4,1,2.0,0.8,39.52618453865337,0.3054226611949103,39.15211970074813,39.900249376558605,5
seeds,8,4,5,2.0,0.8,49.02743142144639,0.6070155333984086,48.37905236907731,49.87531172069826,5
seeds,8,5,1,2.0,0.8,40.399002493765586,,40.399002493765586,40.399002493765586,1
seeds,8,5,5,2.0,0.8,47.880299251870326,,47.880299251870326,47.880299251870326,1
seeds,16,1,1,2.0,0.8,37.03241895261845,0.4987531172069814,36.408977556109726,37.780548628428924,5
seeds,16,1,5,2.0,0.8,48.20448877805486,0.533397746538842,47.38154613466334,48.753117206982544,5
seeds,16,2,1,2.0,0.8,39.50124688279301,0.857442856739994,37.780548628428924,40.52369077306733,10
seeds,16,2,5,2.0,0.8,50.97256857855361,0.5812845797854372,50.0,51.62094763092269,10
seeds,16,3,1,2.0,0.8,40.7356608478803,0.7151935361446377,39.775561097256855,42.01995012468828,10
seeds,16,3,5,2.0,0.8,51.72069825436408,0.2985583540493435,50.99750623441396,52.119700748129674,10
seeds,16,4,1,2.0,0.8,41.52119700748129,0.6108453223898204,40.89775561097257,42.394014962593516,5
