source,exhaustiveness,ensemble_size,subset,top_n,rmsd_threshold,lddt_threshold,n_total,n_with_predictions,n_rmsd,rmsd_pct,n_rmsd_pb,rmsd_pb_pct,n_strict,strict_pct
seeds,8,1,1370180479,1,2.0,0.8,802,802,349,43.51620947630923,348,43.39152119700748,276,34.413965087281795
seeds,8,1,1370180479,5,2.0,0.8,802,802,475,59.22693266832918,474,59.10224438902743,349,43.51620947630923
seeds,8,1,1449838082,1,2.0,0.8,802,802,355,44.2643391521197,354,44.13965087281795,285,35.53615960099751
seeds,8,1,1449838082,5,2.0,0.8,802,802,486,60.598503740648376,486,60.598503740648376,363,45.261845386533665
seeds,8,1,1832854922,1,2.0,0.8,802,802,346,43.14214463840399,345,43.01745635910225,270,33.66583541147132
seeds,8,1,1832854922,5,2.0,0.8,802,802,481,59.97506234413965,480,59.85037406483791,343,42.768079800498754
seeds,8,1,1880307061,1,2.0,0.8,802,802,350,43.64089775561097,349,43.51620947630923,272,33.915211970074814
seeds,8,1,1880307061,5,2.0,0.8,802,802,492,61.34663341645885,491,61.22194513715711,351,43.765586034912715
seeds,8,1,2012026466,1,2.0,0.8,802,802,342,42.64339152119701,340,42.394014962593516,274,34.1645885286783
seeds,8,1,2012026466,5,2.0,0.8,802,802,473,58.97755610972568,471,58.728179551122196,343,42.768079800498754
seeds,8,2,1370180479;1449838082,1,2.0,0.8,802,802,368,45.885286783042396,367,45.760598503740646,302,37.65586034912718
seeds,8,2,1370180479;1449838082,5,2.0,0.8,802,802,504,62.8428927680798,504,62.8428927680798,382,47.63092269326683
seeds,8,2,1370180479;1832854922,1,2.0,0.8,802,802,367,45.760598503740646,366,45.6359102244389,294,36.65835411471322
seeds,8,2,1370180479;1832854922,5,2.0,0.8,802,802,512,63.84039900249377,512,63.84039900249377,380,47.38154613466334
seeds,8,2,1370180479;1880307061,1,2.0,0.8,802,802,371,46.25935162094763,369,46.00997506234414,290,36.15960099750623
seeds,8,2,1370180479;1880307061,5,2.0,0.8,802,802,518,64.58852867830424,518,64.58852867830424,384,47.880299251870326
seeds,8,2,1370180479;2012026466,1,2.0,0.8,802,802,364,45.38653366583541,361,45.01246882793018,297,37.03241895261846
seeds,8,2,1370180479;2012026466,5,2.0,0.8,802,802,503,62.718204488778056,501,62.46882793017456,377,47.00748129675811
seeds,8,2,1449838082;1832854922,1,2.0,0.8,802,802,371,46.25935162094763,370,46.13466334164588,299,37.281795511221944
seeds,8,2,1449838082;1832854922,5,2.0,0.8,802,802,507,63.21695760598504,507,63.21695760598504,381,47.50623441396509
seeds,8,2,1449838082;1880307061,1,2.0,0.8,802,802,379,47.256857855361595,378,47.13216957605985,305,38.02992518703242
seeds,8,2,1449838082;1880307061,5,2.0,0.8,802,802,510,63.591022443890274,510,63.591022443890274,384,47.880299251870326
seeds,8,2,1449838082;2012026466,1,2.0,0.8,802,802,368,45.885286783042396,365,45.51122194513716,304,37.905236907730675
seeds,8,2,1449838082;2012026466,5,2.0,0.8,802,802,503,62.718204488778056,501,62.46882793017456,382,47.63092269326683
seeds,8,2,1832854922;1880307061,1,2.0,0.8,802,802,373,46.50872817955112,372,46.38403990024938,294,36.65835411471322
seeds,8,2,1832854922;1880307061,5,2.0,0.8,802,802,511,63.71571072319202,511,63.71571072319202,376,46.88279301745636
seeds,8,2,1832854922;2012026466,1,2.0,0.8,802,802,365,45.51122194513716,363,45.261845386533665,292,36.408977556109726
seeds,8,2,1832854922;2012026466,5,2.0,0.8,802,802,505,62.96758104738154,504,62.8428927680798,373,46.50872817955112
seeds,8,2,1880307061;2012026466,1,2.0,0.8,802,802,363,45.261845386533665,361,45.01246882793018,292,36.408977556109726
seeds,8,2,1880307061;2012026466,5,2.0,0.8,802,802,506,63.092269326683294,505,62.96758104738154,378,47.13216957605985
seeds,8,3,1370180479;1449838082;1832854922,1,2.0,0.8,802,802,376,46.88279301745636,375,46.758104738154614,304,37.905236907730675
seeds,8,3,1370180479;1449838082;1832854922,5,2.0,0.8,802,802,517,64.46384039900249,517,64.46384039900249,393,49.00249376558604
seeds,8,3,1370180479;1449838082;1880307061,1,2.0,0.8,802,802,386,48.12967581047381,385,48.00498753117207,314,39.15211970074813
seeds,8,3,1370180479;1449838082;1880307061,5,2.0,0.8,802,802,518,64.58852867830424,518,64.58852867830424,395,49.251870324189525
seeds,8,3,1370180479;1449838082;2012026466,1,2.0,0.8,802,802,379,47.256857855361595,376,46.88279301745636,312,38.90274314214464
seeds,8,3,1370180479;1449838082;2012026466,5,2.0,0.8,802,802,505,62.96758104738154,503,62.718204488778056,384,47.880299251870326
seeds,8,3,1370180479;1832854922;1880307061,1,2.0,0.8,802,802,385,48.00498753117207,383,47.755610972568576,307,38.27930174563591
seeds,8,3,1370180479;1832854922;1880307061,5,2.0,0.8,802,802,515,64.214463840399,515,64.214463840399,395,49.251870324189525
seeds,8,3,1370180479;1832854922;2012026466,1,2.0,0.8,802,802,377,47.00748129675811,374,46.63341645885287,306,38.15461346633416
seeds,8,3,1370180479;1832854922;2012026466,5,2.0,0.8,802,802,510,63.591022443890274,509,63.46633416458853,388,48.37905236907731
seeds,8,3,1370180479;1880307061;2012026466,1,2.0,0.8,802,802,376,46.88279301745636,373,46.50872817955112,304,37.905236907730675
seeds,8,3,1370180479;1880307061;2012026466,5,2.0,0.8,802,802,505,62.96758104738154,504,62.8428927680798,388,48.37905236907731
seeds,8,3,1449838082;1832854922;1880307061,1,2.0,0.8,802,802,387,48.254364089775564,386,48.12967581047381,312,38.90274314214464
seeds,8,3,1449838082;1832854922;1880307061,5,2.0,0.8,802,802,515,64.214463840399,515,64.214463840399,394,49.12718204488778
seeds,8,3,1449838082;1832854922;2012026466,1,2.0,0.8,802,802,377,47.00748129675811,374,46.63341645885287,308,38.403990024937656
seeds,8,3,1449838082;1832854922;2012026466,5,2.0,0.8,802,802,513,63.96508728179551,512,63.84039900249377,388,48.37905236907731
seeds,8,3,1449838082;1880307061;2012026466,1,2.0,0.8,802,802,383,47.755610972568576,380,47.38154613466334,315,39.276807980049874
seeds,8,3,1449838082;1880307061;2012026466,5,2.0,0.8,802,802,511,63.71571072319202,510,63.591022443890274,393,49.00249376558604
seeds,8,3,1832854922;1880307061;2012026466,1,2.0,0.8,802,802,382,47.63092269326683,380,47.38154613466334,306,38.15461346633416
seeds,8,3,1832854922;1880307061;2012026466,5,2.0,0.8,802,802,509,63.46633416458853,508,63.34164588528678,389,48.50374064837905
seeds,8,4,1370180479;1449838082;1832854922;1880307061,1,2.0,0.8,802,802,392,48.87780548628429,391,48.753117206982544,318,39.65087281795511
