strategy,exhaustiveness,top_n,rmsd_threshold,lddt_threshold,n_total,n_replicates,rmsd_pct,rmsd_sd,rmsd_min,rmsd_max,rmsd_pb_pct,rmsd_pb_sd,rmsd_pb_min,rmsd_pb_max,strict_pct,strict_sd,strict_min,strict_max,n_with_predictions,n_rmsd,n_rmsd_pb,n_strict
single,8,1,2.0,0.8,802,5,43.44139650872818,0.6018712412043474,42.64339152119701,44.2643391521197,43.29177057356609,0.644289809614154,42.394014962593516,44.13965087281795,34.33915211970075,0.7249098181420771,33.66583541147132,35.53615960099751,,,,
seeds5,8,1,2.0,0.8,802,1,49.62593516209476,0.0,49.62593516209476,49.62593516209476,49.251870324189525,0.0,49.251870324189525,49.251870324189525,40.399002493765586,0.0,40.399002493765586,40.399002493765586,802.0,398.0,395.0,324.0
conformers5,8,1,2.0,0.8,802,1,69.45137157107231,0.0,69.45137157107231,69.45137157107231,69.45137157107231,0.0,69.45137157107231,69.45137157107231,66.58354114713217,0.0,66.58354114713217,66.58354114713217,802.0,557.0,557.0,534.0
single,8,25,2.0,0.8,802,5,62.34413965087282,1.0091280583689932,61.34663341645885,63.96508728179551,62.19451371571072,1.0029465113311806,61.09725685785536,63.71571072319202,44.588528678304236,1.0075862269744091,43.64089775561097,46.13466334164588,,,,
seeds5,8,25,2.0,0.8,802,1,75.06234413965088,0.0,75.06234413965088,75.06234413965088,74.93765586034912,0.0,74.93765586034912,74.93765586034912,56.35910224438903,0.0,56.35910224438903,56.35910224438903,802.0,602.0,601.0,452.0
conformers5,8,25,2.0,0.8,802,1,92.01995012468828,0.0,92.01995012468828,92.01995012468828,92.01995012468828,0.0,92.01995012468828,92.01995012468828,85.03740648379052,0.0,85.03740648379052,85.03740648379052,802.0,738.0,738.0,682.0
single,8,40,2.0,0.8,802,5,62.36907730673316,0.9951655830042357,61.34663341645885,63.96508728179551,62.219451371571076,0.989682535310942,61.09725685785536,63.71571072319202,44.588528678304236,1.0075862269744091,43.64089775561097,46.13466334164588,,,,
seeds5,8,40,2.0,0.8,802,1,76.30922693266832,0.0,76.30922693266832,76.30922693266832,76.18453865336659,0.0,76.18453865336659,76.18453865336659,57.1072319201995,0.0,57.1072319201995,57.1072319201995,802.0,612.0,611.0,458.0
conformers5,8,40,2.0,0.8,802,1,92.26932668329177,0.0,92.26932668329177,92.26932668329177,92.26932668329177,0.0,92.26932668329177,92.26932668329177,85.16209476309227,0.0,85.16209476309227,85.16209476309227,802.0,740.0,740.0,683.0
single,16,1,2.0,0.8,802,5,46.907730673316706,0.9912522151796411,45.6359102244389,47.880299251870326,46.758104738154614,0.9617985424277746,45.51122194513716,47.63092269326683,37.03241895261845,0.4987531172069817,36.408977556109726,37.780548628428924,,,,
seeds5,16,1,2.0,0.8,802,1,51.49625935162095,0.0,51.49625935162095,51.49625935162095,51.3715710723192,0.0,51.3715710723192,51.3715710723192,42.26932668329177,0.0,42.26932668329177,42.26932668329177,802.0,413.0,412.0,339.0
conformers5,16,1,2.0,0.8,802,1,69.70074812967582,0.0,69.70074812967582,69.70074812967582,69.70074812967582,0.0,69.70074812967582,69.70074812967582,66.08478802992519,0.0,66.08478802992519,66.08478802992519,802.0,559.0,559.0,530.0
single,16,25,2.0,0.8,802,5,68.6284289276808,0.5333977465388438,67.95511221945137,69.32668329177058,68.47880299251871,0.5095465521621576,67.83042394014963,69.20199501246883,49.62593516209476,0.5064861848276776,49.00249376558604,50.37406483790524,,,,
seeds5,16,25,2.0,0.8,802,1,78.6783042394015,0.0,78.6783042394015,78.6783042394015,78.55361596009975,0.0,78.55361596009975,78.55361596009975,60.598503740648376,0.0,60.598503740648376,60.598503740648376,802.0,631.0,630.0,486.0
conformers5,16,25,2.0,0.8,802,1,93.26683291770574,0.0,93.26683291770574,93.26683291770574,93.26683291770574,0.0,93.26683291770574,93.26683291770574,87.4064837905237,0.0,87.4064837905237,87.4064837905237,802.0,748.0,748.0,701.0
